Study,# Patients,# Sequences,Subtypes,# Patients per Subtype and Gene,# Sequences per Subtype and Gene,Mixtures,PR GeneSize,RT GeneSize,IN GeneSize,PR FirstAA,PR LastAA,RT FirstAA,RT LastAA,IN FirstAA,IN LastAA
11106537,3,644,B (644),"B PR (3), All PR (3)","B PR (644), All PR (644)",0 (644),99 (99 - 99),N/A,N/A,1 (1 - 1),99 (99 - 99),N/A,N/A,N/A,N/A
15021312,11,319,B (319),"B PR (11), All PR (11), B RT (11), All RT (11)","B RT (163), All RT (163), B PR (156), All PR (156)","0 (311), 1 (7), 2 (1)",99 (99 - 99),207 (201 - 216),N/A,1 (1 - 1),99 (99 - 99),23 (18 - 24),229 (229 - 233),N/A,N/A
16706620,14,163,"A (105), A2 (37), D (21)","All PR (14), All RT (14), A PR (8), A RT (8), A2 PR (3), A2 RT (3), D PR (3), D RT (3)","All PR (163), All RT (163), A PR (105), A RT (105), A2 PR (37), A2 RT (37), D PR (21), D RT (21)","0 (157), 1 (4), 2 (1), 3 (1)",99 (99 - 99),260 (160 - 268),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),260 (160 - 268),N/A,N/A
16775332,9,1604,B (1604),"B RT (9), All RT (9)","B RT (1604), All RT (1604)","0 (1602), 1 (2)",N/A,182 (182 - 182),N/A,N/A,N/A,38 (38 - 38),219 (219 - 219),N/A,N/A
19116249,14,2060,B (2060),"B PR (14), All PR (14), B RT (14), All RT (14)","B PR (2060), All PR (2060), B RT (2060), All RT (2060)","0 (2045), 1 (12), 2 (2), 4 (1)",99 (99 - 99),243 (231 - 259),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),243 (231 - 259),N/A,N/A
19349849,11,320,"B (264), D (30), F (26)","All RT (11), B RT (9), D RT (1), F RT (1)","All RT (320), B RT (264), D RT (30), F RT (26)","0 (312), 1 (8)",N/A,208 (185 - 208),N/A,N/A,N/A,24 (24 - 33),231 (217 - 231),N/A,N/A
19454710,3,137,"B (87), C (50)","All IN (2), C IN (1), B IN (1), B RT (1), All RT (1)","All IN (101), B IN (51), C IN (50), B RT (36), All RT (36)","0 (136), 1 (1)",N/A,246 (246 - 246),153 (153 - 180),N/A,N/A,188 (188 - 188),433 (433 - 433),73 (33 - 73),225 (212 - 225)
19487424,12,243,"B (213), C (30)","All PR (12), All RT (12), All IN (12), B PR (9), B RT (9), B IN (9), C PR (3), C RT (3), C IN (3)","All RT (242), All IN (242), All PR (213), B RT (213), B IN (213), B PR (183), C PR (30), C RT (29), C IN (29)","0 (224), 1 (14), 2 (5)",99 (99 - 99),560 (114 - 560),270 (270 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 447),560 (560 - 560),1 (1 - 1),270 (270 - 288)
20375173,10,386,"B (384), D (1), F (1)","B IN (10), All IN (10), D IN (1), F IN (1)","All IN (386), B IN (384), D IN (1), F IN (1)",0 (386),N/A,N/A,42 (39 - 42),N/A,N/A,N/A,N/A,247 (247 - 250),288 (288 - 288)
20485520,2,266,B (266),"B IN (2), All IN (2), B PR (1), All PR (1), B RT (1), All RT (1)","B IN (266), All IN (266), B PR (94), All PR (94), B RT (94), All RT (94)",0 (266),99 (99 - 99),560 (560 - 560),42 (42 - 276),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),247 (1 - 247),288 (276 - 288)
20578518,35,306,"CRF01_AE (303), A (3)","CRF01_AE RT (35), All RT (35), CRF01_AE PR (35), All PR (35), A PR (1)","CRF01_AE RT (153), All RT (153), All PR (153), CRF01_AE PR (150), A PR (3)","0 (278), 1 (21), 2 (7)",99 (99 - 99),560 (560 - 560),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),N/A,N/A
20926564,13,189,"B (149), A (34), D (6)","All PR (13), All RT (13), B PR (9), B RT (9), A PR (3), A RT (3), D PR (1), D RT (1)","All PR (189), All RT (189), B PR (149), B RT (149), A PR (34), A RT (34), D PR (6), D RT (6)",0 (189),99 (99 - 99),228 (228 - 228),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),228 (228 - 228),N/A,N/A
20954840,10,248,B (248),"B RT (10), All RT (10)","B RT (248), All RT (248)","0 (218), 1 (27), 2 (3)",N/A,164 (130 - 166),N/A,N/A,N/A,63 (59 - 82),224 (207 - 226),N/A,N/A
21347345,1,44,B (44),"B RT (1), All RT (1)","B RT (44), All RT (44)","0 (41), 1 (1), 2 (1), 4 (1)",N/A,214 (214 - 214),N/A,N/A,N/A,347 (347 - 347),560 (560 - 560),N/A,N/A
21569325,2,145,"A2 (75), C (70)","All PR (2), All RT (2), A2 PR (1), A2 RT (1), C PR (1), C RT (1)","All PR (145), All RT (145), A2 PR (75), A2 RT (75), C PR (70), C RT (70)",0 (145),99 (99 - 99),560 (560 - 560),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),N/A,N/A
21593162,9,474,B (474),"B PR (9), All PR (9), B RT (9), All RT (9), B IN (9), All IN (9)","B PR (474), All PR (474), B RT (474), All RT (474), B IN (473), All IN (473)",0 (474),99 (99 - 99),560 (560 - 560),288 (288 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 1),288 (288 - 288)
22149143,35,160,"C (82), B (58), CRF04_cpx (13), CRF02_AG (4), B + F (1), F (1), NA (1)","All IN (35), All PR (34), All RT (34), C PR (17), C RT (17), C IN (17), B IN (11), B PR (10), B RT (10), CRF04_cpx PR (4), CRF04_cpx RT (4), CRF04_cpx IN (4), CRF02_AG PR (2), CRF02_AG RT (2), CRF02_AG IN (2), B + F PR (1), B + F RT (1), B + F IN (1), F IN (1)","All IN (159), C IN (82), All PR (76), All RT (76), B IN (58), C PR (38), C RT (38), B PR (29), B RT (29), CRF04_cpx IN (13), CRF04_cpx PR (6), CRF04_cpx RT (6), CRF02_AG IN (4), CRF02_AG PR (2), CRF02_AG RT (2), B + F PR (1), B + F RT (1), B + F IN (1), F IN (1)","0 (147), 1 (11), 2 (2)",99 (99 - 99),560 (560 - 560),178 (178 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),111 (1 - 111),288 (288 - 288)
22693444,4,212,C (212),"C IN (4), All IN (4), C PR (4), All PR (4), C RT (4), All RT (4)","C IN (212), All IN (212), C PR (102), All PR (102), C RT (102), All RT (102)","0 (203), 1 (9)",99 (99 - 99),560 (560 - 560),56 (56 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),233 (1 - 233),288 (288 - 288)
23123038,12,204,"D (114), A (90)","All PR (12), All RT (12), All IN (12), D PR (6), D RT (6), D IN (6), A PR (6), A RT (6), A IN (6)","All PR (204), All RT (204), All IN (203), D PR (114), D RT (114), D IN (114), A PR (90), A RT (90), A IN (89)","0 (203), 1 (1)",99 (99 - 99),560 (560 - 560),270 (258 - 285),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 1),270 (258 - 285)
23221345,16,1031,"C (762), B (269)","All PR (16), All RT (16), All IN (16), C PR (12), C RT (12), C IN (12), B PR (4), B RT (4), B IN (4)","All PR (1031), All RT (1030), All IN (1029), C PR (762), C RT (761), C IN (760), B PR (269), B RT (269), B IN (269)","0 (961), 1 (57), 2 (8), 3 (3), 4 (1), 5 (1)",99 (99 - 99),560 (560 - 560),270 (270 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 1),270 (270 - 288)
23495713,1,125,"B (75), D (50)","D PR (1), All PR (1), D RT (1), All RT (1), B PR (1), B RT (1)","All PR (125), All RT (125), B PR (75), B RT (75), D PR (50), D RT (50)","0 (115), 1 (2), 2 (1), 3 (2), 5 (1), 6 (3), 30 (1)",99 (99 - 99),286 (286 - 286),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),286 (286 - 286),N/A,N/A
23678164,33,1387,B (1387),"B PR (33), All PR (33), B RT (33), All RT (33)","B PR (1387), All PR (1387), B RT (1387), All RT (1387)","0 (1367), 1 (15), 2 (5)",99 (99 - 99),259 (245 - 400),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),259 (245 - 400),N/A,N/A
25003939,45,622,"A (284), C (188), D (95), A2 (21), Unknown (18), C + D (16)","All PR (45), All RT (45), A PR (22), A RT (22), C PR (16), C RT (16), D PR (8), D RT (8), Unknown PR (1), Unknown RT (1), C + D PR (1), C + D RT (1), A2 PR (1), A2 RT (1)","All RT (622), All PR (620), A PR (284), A RT (284), C RT (188), C PR (186), D PR (95), D RT (95), A2 PR (21), A2 RT (21), Unknown PR (18), Unknown RT (18), C + D PR (16), C + D RT (16)","0 (617), 1 (4), 2 (1)",99 (99 - 99),396 (394 - 396),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),396 (394 - 396),N/A,N/A
25569444,4,131,A (131),"A PR (4), All PR (4), A RT (4), All RT (4), A IN (4), All IN (4)","A IN (129), All IN (129), A RT (111), All RT (111), A PR (110), All PR (110)","0 (120), 1 (10), 2 (1)",99 (99 - 99),560 (560 - 560),288 (47 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 242),288 (288 - 288)
25886933,1,23,CRF01_AE (23),"CRF01_AE PR (1), All PR (1), CRF01_AE RT (1), All RT (1), CRF01_AE IN (1), All IN (1)","CRF01_AE PR (23), All PR (23), CRF01_AE RT (23), All RT (23), CRF01_AE IN (23), All IN (23)","0 (22), 1 (1)",99 (99 - 99),560 (560 - 560),275 (274 - 276),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 1),275 (274 - 276)
25953118,3,465,D (465),"D PR (3), All PR (3), D RT (3), All RT (3)","D PR (465), All PR (465), D RT (465), All RT (465)","0 (458), 1 (7)",99 (99 - 99),560 (304 - 560),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (304 - 560),N/A,N/A
26378795,12,150,C (150),"C PR (12), All PR (12), C RT (12), All RT (12), C IN (12), All IN (12)","C PR (150), All PR (150), C RT (150), All RT (150), C IN (150), All IN (150)","0 (147), 1 (2), 3 (1)",99 (99 - 99),560 (560 - 560),288 (288 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 1),288 (288 - 288)
27756485,43,280,"C (275), A (5)","All PR (43), All RT (43), All IN (43), C PR (42), C RT (42), C IN (42), A PR (1), A RT (1), A IN (1)","All PR (278), All RT (277), All IN (277), C PR (273), C RT (272), C IN (272), A PR (5), A RT (5), A IN (5)","0 (213), 1 (51), 2 (12), 3 (2), 4 (1), 6 (1)",99 (99 - 99),560 (560 - 560),288 (288 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 1),288 (288 - 288)
28069935,15,303,"C (177), B (126)","All PR (15), All RT (15), All IN (15), C PR (8), C RT (8), C IN (8), B PR (7), B RT (7), B IN (7)","All PR (303), All RT (303), All IN (303), C PR (177), C RT (177), C IN (177), B PR (126), B RT (126), B IN (126)","0 (302), 1 (1)",99 (99 - 99),560 (560 - 560),288 (288 - 288),1 (1 - 1),99 (99 - 99),1 (1 - 1),560 (560 - 560),1 (1 - 1),288 (288 - 288)
28272134,3,246,B (246),"B PR (3), All PR (3), B RT (3), All RT (3)","B PR (246), All PR (246), B RT (246), All RT (246)",0 (246),99 (99 - 99),245 (245 - 256),N/A,1 (1 - 1),99 (99 - 99),1 (1 - 1),245 (245 - 256),N/A,N/A
